Collembola_species,museum_records,Field_records
Agreni_identiculata,187,239
Allacma_fusca,67,26459
Anurida_granaria,1,358
Anurida_latosensillata,0,4
Anurida_granulata,11,79
Anurida_maritima,0,1
Anurida_thalassophila,1,12
Anurida_uniformis,0,1146
Anurida_tullbergi,2,239
Anurophorus_atlanticus,0,698
Anurophorus_laricis,33,46
Appendisotoma_abiskoensis,2,10
Appendisotoma_europaea,0,27
Archisotoma_pulchella,0,1
Arrhopalites_acanthophthalmus,2,196
Arrhopalites_baccetti,0,7
Arrhopalites_boneti,0,2
Arrhopalites_caecus,0,571
Arrhopalites_canzianus,0,54
Arrhopalites_tenuis,0,5
Arrhopalites_ornatus,0,6
Arrhopalites_thermophilus,5,0
Arrhopalites_ulehlovae,0,90
Axenyllodes_bayeri,0,3
Axenyllodes_caecus,0,2
Ballistura_schoetti,6,13
Ballistura_tuberculata,0,50
Bilobella_aurantiaca,0,1
Bilobella_braunerae,1,0
Bonetogastrura_cavicola,0,0
Bourletiella_arvalis,49,0
Bourletiella_hortensis,47,7121
Bourletiella_pistilla,0,5
Bourletiella_radula,0,1
Bourletiella_viridescens,0,48
Brachystomella_curvula,0,219
Brachystomella_parvula,16,3049
Brachystomella_nubila,0,2
Caprainea_marginata,13,14
Cassagnaudiella_cruciata,7,0
Cassagnaudiella_pruinosa,0,1
Ceratophysella_armata,1207,460
Ceratophysella_bengtssoni,2,133
Ceratophysella_denticulata,324,6854
Ceratophysella_engadinensis,1,48
Ceratophysella_granulata,7,5
Ceratophysella_mosquensis,0,1
Ceratophysella_scotica,9,72
Ceratophysella_sigillata,3,2222
Ceratophysella_succinea,11,271
Coecobrya_tenebricosa,6,4
Cyphoderus_albinus,10,76
Choreutinula_inermis,1,54
Deharvengiurus_denisi,49,208
Desoria_duodecimoculata,0,306
Desoria_fennica,7,59
Desoria_hiemalis,0,70
Desoria_intermedia,0,7
Desoria_neglecta,3,2253
Desoria_nivalis,4,0
Desoria_nivea,1,0
Desoria_olivacea,21,435
Desoria_propinqua,28,102
Desoria_tigrina,23,616
Desoria_trispinata,0,68
Desoria_violacea,8,1283
Cyphoderus_albinus,0,0
Cryptopygus_scapelliferus,0,100
Cryptopygus_sphagneticolus,0,7
Detriturus_jubilarius,12,7
Deuteraphorura_antheuili,23,174
Deuteraphorura_cebennaria,1,2186
Deuteraphorura_dunaria,0,2
Deuteraphorura_inermis,0,69
Deuteraphorura_silvaria,8,212
Deuteraphorura_variabilis,0,1
Deuterosminthurus_bicinctus,72,753
Deuterosminthurus_pallipes,60,130
Deuterosminthurus_sulphureus,14,20
Deutonura_conjuncta,4,82
Deutonura_phlegraea,0,5
Dicyrtoma_fusca,151,2148
Dicyrtomina_minuta,13,441
Dicyrtomina_saundersi,0,133
Dicyrtomina_ornata,93,2356
Doutnacia_xerophila,4,128
Deharvengiurus_denisi,0,0
Disparrhopalites_patrizii,0,599
Endonura_tetrophthalma,0,79
Entomobrya_albocincta,0,2
Entomobrya_arborea,1,2
Entomobrya_corticalis,32,1211
Entomobrya_dungeri,1,0
Entomobrya_handschini,0,144
Entomobrya_lanuginosa,35,1376
Entomobrya_marginata,0,162
Entomobrya_multifasciata,4,3309
Entomobrya_muscorum,116,752
Entomobrya_nivalis,46,30575
Entomobrya_nicoleti,4,121
Entomobrya_nigrocincta,0,117
Entomobrya_schoetti,5,7
Entomobrya_schulzi,1,0
Entomobrya_quinquelineata,0,57
Entomobryoides_purpurascens,4,118
Fasciosminthurus_quinquefasciatus,25,1
Folsomia_alpina,1,0
Folsomia_bisetosa,0,218
Folsomia_candida,53,6174
Folsomia_diplophthalma,0,39
Folsomia_dovrensis,0,1
Folsomia_fimetaria,16,5649
Folsomia_fimetaroides,0,5988
Folsomia_inoculata,0,2954
Folsomia_manolachei,1144,17288
Folsomia_penicula,856,4384
Folsomia_quadrioculata,425,81652
Folsomia_sexoculata,15,962
Folsomia_spinosa,65,867
Folsomia_sensibilis,0,2
Folsomia_thalassophila,7,14
Folsomia_similis,0,1
Folsomia_kerni,0,2
Folsomides_angularis,0,522
Folsomides_parvulus,19,1550
Folsomina_onychiurina,0,21
Friesea_afurcata,0,1
Friesea_claviseta,3,132
Friesea_handschini,1,0
Friesea_mirabilis,139,9301
Friesea_monoculata,0,1
Friesea_truncata,10,6101
Friesea_octoculata,0,8
Gisinea_delhezi,0,1
Halisotoma_maritima,0,68
Hemisotoma_pontica,0,300
Hemisotoma_thermophila,0,11014
Hemisotoma_posteroculata,1,0
Gisinianus_flammeolus,28,5
Heteromurus_major,0,6
Heteromurus_nitidus,52,4389
Heterosminthurus_bilineatus,74,419
Heterosminthurus_insignis,12,16
Heterosminthurus_chaetocephalus,22,0
Heterosminthurus_claviger,15,11
Heterosminthurus_novemlineatus,18,0
Hydroisotoma_schaefferi,75,102
Hymenaphorura_nova,0,53
Hymenaphorura_polonica,0,99
Hypogastrura_assimilis,0,642
Hypogastrura_burkilli,34,92
Hypogastrura_calceolaris,0,1
Hypogastrura_crassaegranulata,0,50
Hypogastrura_monticola,10,35
Hypogastrura_manubrialis,1,14
Hypogastrura_neglecta,0,2
Hypogastrura_purpurescens,1,2141
Hypogastrura_sahlbergi,0,1
Hypogastrura_sensilis,0,11
Hypogastrura_socialis,0,718
Hypogastrura_vernalis,0,6
Hypogastrura_viatica,0,49
Isotoma_caerulea,19,0
Isotoma_anglicana,17,3752
Isotoma_riparia,0,26
Isotoma_viridis,87,41766
Isotomiella_minor,1451,73802
Isotomiella_paraminor,0,3282
Isotomodes_armatus,0,160
Isotomodes_bisetosus,0,10
Isotomodes_gisini,0,26
Isotomodes_productus,3,3048
Isotomodes_sexsetosus,0,28
Isotomurus_antennalis,0,1227
Isotomurus_balteatus,0,1171
Isotomurus_cassagnaui,0,41
Isotomurus_fucicolus,1,102
Isotomurus_italicus,1,0
Isotomurus_graminis,32,47
Isotomurus_keilbachi,0,90
Isotomurus_maculatus,2,743
Isotomurus_unifasciatus,2,49
Isotomurus_palustris,22,72988
Isotomurus_pseudopalustris,3,0
