Collembola_Species,Museum,Field
Allacma_fusca,2,0
Anurida_granulata,10,9
Anurophorus_atlanticus,0,19
Anurophorus_laricis,2,2
Appendisotoma_abiskoensis,0,3
Appendisotoma_europaea,0,27
Arrhopalites_thermophilus,1,0
Bourletiella_hortensis,5,0
Brachystomella_parvula,0,78
Caprainea_marginata,13,0
Ceratophysella_armata,854,7
Ceratophysella_denticulata,254,24
Ceratophysella_sigillata,0,2000
Cyphoderus_albinus,0,1
Deharvengiurus_denisi,40,27
Desoria_propinqua,11,0
Desoria_tigrina,0,21
Deuterosminthurus_bicinctus,27,0
Deutonura_conjuncta,3,0
Dicyrtoma_fusca,58,7
Dicyrtomina_minuta,1,0
Doutnacia_xerophila,4,0
Entomobrya_arborea,1,1
Entomobrya_corticalis,5,1
Entomobrya_lanuginosa,3,0
Entomobrya_multifasciata,2,3
Entomobrya_muscorum,23,0
Entomobrya_nivalis,3,4
Entomobrya_schulzi,1,0
Folsomia_candida,36,3
Folsomia_fimetaria,0,7
Folsomia_manolachei,1135,917
Folsomia_penicula,325,2003
Folsomia_quadrioculata,197,15
Folsomia_sexoculata,2,0
Folsomia_spinosa,34,1
Folsomia_thalassophila,7,0
Friesea_mirabilis,35,68
Heteromurus_nitidus,0,1
Hydroisotoma_schaefferi,0,100
Hypogastrura_neglecta,0,2
Hypogastrura_purpurescens,0,1
Isotoma_anglicana,0,43
Isotoma_viridis,0,110
Isotomiella_minor,1167,3035
Isotomodes_productus,0,2
Isotomurus_palustris,4,14
Karlstejnia_annae,2,0
Lepidocyrtus_cyaneus,180,95
Lepidocyrtus_lanuginosus,92,110
Lepidocyrtus_lignorum,17,595
Lepidocyrtus_paradoxus,0,42
Lepidocyrtus_ruber,50,0
Lepidocyrtus_violaceus,1,46
Lipothrix_lubbocki,18,4
Marcuzziella_tripartita,1,0
Megalothorax_minimus,7,73
Mesaphorura_critica,6,0
Mesaphorura_hygrophila,1,43
Mesaphorura_hylophila,93,0
Mesaphorura_italica,33,1
Mesaphorura_macrochaeta,512,56
Mesaphorura_rudolfi,21,0
Mesaphorura_sylvatica,9,1
Mesaphorura_tenuisensillata,361,41
Mesaphorura_yosii,11,0
Metaphorura_affinis,0,7
Micranurida_forsslundi,7,10
Micranurida_pygmaea,89,39
Micranurida_sensillata,11,1
Microgastrura_duodecimoculata,2,0
Neanura_muscorum,8,17
Neanura_parva,2,2
Neelides_minutus,101,2
Oligaphorura_serratotuberculata,200,0
Onychiuroides_granulosus,18,16
Onychiuroides_pseudogranulosus,90,279
Orchesella_alticola,0,6
Orchesella_bifasciata,0,4
Orchesella_cincta,0,2
Orchesella_flavescens,102,2
Orchesella_villosa,0,8
Paratullbergia_callipygos,472,19
Paratullbergia_macdougalli,0,2
Parisotoma_notabilis,484,1273
Pygmarrhopalites_pygmaeus,3,381
Pygmarrhopalitess_terricola,1,0
Pogonognathellus_flavescens,120,218
Pogonognathellus_longicornis,1,0
Proisotoma_minima,1,0
Proisotomodes_bipunctatus,0,22
Protaphorura_armata,13,242
Protaphorura_aurantiaca,1,0
Protaphorura_campata,79,0
Protaphorura_cancellata,1,6
Protaphorura_meridiata,8,21
Protaphorura_pannonica,3,17
Protaphorura_subuliginata,10,0
Protaphorura_svontoernei,1,0
Protaphorura_tricampata,14,16
Pseudachorutes_corticicolus,1,0
Pseudachorutes_parvulus,82,0
Pseudachorutes_subcrassus,4,0
Pseudosinella_alba,84,31
Pseudosinella_ksenemani,1,0
Pseudosinella_sexoculata,0,1
Ptenothrix_atra,192,0
Schaefferia_emucronata,1,32
Seira_domestica,10,0
Sminthurides_penicillifer,0,4
Sminthurides_pseudassimilis,0,13
Sminthurides_schoetti,0,1
Sminthurinus_aureus,759,96
Sminthurinus_elegans,0,29
Sminthurus_nigromaculatus,0,1
Spatulosminthurus_flaviceps,68,0
Sphaeridia_pumilis,1,74
Stenaphorura_quadrispina,130,34
Subisotoma_pusilla,4,0
Tetracanthella_fjellbergi,1,0
Tetrodontophora_bielanensis,76,297
Thaumanura_carolii,2,0
Tomocerina_minuta,167,59
Tomocerus_vulgaris,1,2
Wankeliella_mediochaeta,35,0
Wankeliella_peterseni,4,0
Willemia_anophthalma,9,8
Willemia_denisi,30,6
Xenyllodes_armatus,210,3
