SourceCategory,Genus.Species.curated,Observations
field,Anochetus.mayri,30
museum,Anochetus.mayri,11
field,Aphaenogaster.ashmeadi,20
museum,Aphaenogaster.ashmeadi,60
field,Aphaenogaster.carolinensis,217
museum,Aphaenogaster.carolinensis,251
field,Aphaenogaster.flemingi,3
museum,Aphaenogaster.flemingi,25
field,Aphaenogaster.floridana,10
museum,Aphaenogaster.floridana,61
field,Aphaenogaster.fulva,31
museum,Aphaenogaster.fulva,36
field,Aphaenogaster.lamellidens,10
museum,Aphaenogaster.lamellidens,23
field,Aphaenogaster.rudis,1
field,Aphaenogaster.tennesseensis,2
museum,Aphaenogaster.tennesseensis,9
field,Aphaenogaster.treatae,11
museum,Aphaenogaster.treatae,33
museum,Aphaenogaster.umphreyi,10
field,Brachymyrmex.depilis,826
museum,Brachymyrmex.depilis,221
field,Brachymyrmex.minutus,4
museum,Brachymyrmex.minutus,11
field,Brachymyrmex.obscurior,53
museum,Brachymyrmex.obscurior,137
field,Brachymyrmex.patagonicus,3
museum,Brachymyrmex.patagonicus,40
museum,Camponotus.americanus,1
field,Camponotus.castaneus,28
museum,Camponotus.castaneus,78
field,Camponotus.floridanus,121
museum,Camponotus.floridanus,382
field,Camponotus.sexguttatus,4
museum,Camponotus.sexguttatus,4
field,Camponotus.socius,14
museum,Camponotus.socius,68
field,Cardiocondyla.emeryi,42
museum,Cardiocondyla.emeryi,87
field,Cardiocondyla.minutior,17
museum,Cardiocondyla.minutior,59
field,Cardiocondyla.venustula,8
museum,Cardiocondyla.venustula,10
field,Crematogaster.ashmeadi,82
museum,Crematogaster.ashmeadi,223
field,Crematogaster.cerasi,17
museum,Crematogaster.cerasi,24
field,Crematogaster.lineolata,41
museum,Crematogaster.lineolata,24
field,Crematogaster.minutissima,118
museum,Crematogaster.minutissima,91
field,Crematogaster.missouriensis,3
museum,Crematogaster.missouriensis,12
field,Crematogaster.obscurata,1
museum,Crematogaster.obscurata,3
field,Cryptopone.gilva,16
museum,Cryptopone.gilva,28
field,Cyphomyrmex.minutus,146
museum,Cyphomyrmex.minutus,135
field,Cyphomyrmex.rimosus,183
museum,Cyphomyrmex.rimosus,174
field,Discothyrea.testacea,58
museum,Discothyrea.testacea,49
field,Dolichoderus.pustulatus,3
museum,Dolichoderus.pustulatus,23
museum,Dorymyrmex.antillanus,1
field,Dorymyrmex.bossutus,14
museum,Dorymyrmex.bossutus,44
field,Dorymyrmex.bureni,35
museum,Dorymyrmex.bureni,315
museum,Dorymyrmex.elegans,19
field,Dorymyrmex.flavopectus,8
museum,Dorymyrmex.flavopectus,29
museum,Dorymyrmex.flavus,1
field,Dorymyrmex.grandula,3
museum,Dorymyrmex.grandula,8
field,Dorymyrmex.reginicula,2
museum,Dorymyrmex.reginicula,26
field,Dorymyrmex.smithi,8
museum,Dorymyrmex.smithi,17
field,Eurhopalothrix.floridana,141
museum,Eurhopalothrix.floridana,104
field,Forelius.pruinosus,35
museum,Forelius.pruinosus,127
field,Formica.archboldi,11
museum,Formica.archboldi,55
field,Formica.biophilica,1
