Sample,Species,GroundArboreal,Native/Alien,DateCollectedStart,DateCollectedEnd,Place,MuseumBerlese,Disturbance,HabitatCategory,LocLatitude,LocLongitude,CollectorShort,Year
119,Hypoponera.opacior,G,native,17-Jun-65,17-Jun-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
119,Hypoponera.punctatissima,G,alien,17-Jun-65,17-Jun-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
119,Pheidole.bilimeki,G,alien,17-Jun-65,17-Jun-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
119,Solenopsis.diplo,G,NA,17-Jun-65,17-Jun-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Crematogaster.minutissima,G,native,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Hypoponera.opaciceps,G,alien,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Hypoponera.opacior,G,native,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Nylanderia.arenivaga,G,native,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Pheidole.bilimeki,G,alien,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Pheidole.dentigula,G,native,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
195,Solenopsis.diplo,G,NA,28-Aug-65,28-Aug-65,Collier-Seminole SP,museum,U,H,25.99117,-81.5939,W. R. Suter,1965
416,Pseudomyrmex.seminole,A,native,1977,1977,Osceola NF,museum,,,30.201167,-82.4545,,1977
476,Brachymyrmex.depilis,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Eurhopalothrix.floridana,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Hypoponera.opacior,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Hypoponera.punctatissima,G,alien,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Nylanderia.concinna,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Nylanderia.wojciki,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Odontomachus.brunneus,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Pheidole.bilimeki,G,alien,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Pheidole.dentata,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Pheidole.dentigula,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Pheidole.navigans,G,alien,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Pseudoneoponera.stigma,G,alien,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Solenopsis.diplo,G,NA,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
476,Strumigenys.louisianae,G,native,27-Jun-81,27-Jun-81,Collier-Seminole SP,museum,,H,25.99117,-81.5939,S. B. Peck,1981
493,Pseudomyrmex.leptosus,A,native,1982,1982,Payne's Prairie Preserve SP,museum,,,29.520249,-82.293353,,1982
548,Pheidole.dentigula,G,native,1983,1983,Osceola NF,museum,,,30.366667,-82.45,,1983
825,Strumigenys.louisianae,G,native,14-Oct-84,14-Oct-84,Payne's Prairie Preserve SP,museum,,H,29.520249,-82.293353,Clifford Johnson,1984
887,Solenopsis.diplo,G,NA,1985,1985,Collier-Seminole SP,museum,,,25.994697,-81.59252,,1985
1034,Lasius.neoniger,G,native,2-Aug-85,2-Aug-85,Payne's Prairie Preserve SP,museum,,F,29.520249,-82.293353,Clifford Johnson,1985
1043,Solenopsis.diplo,G,NA,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1044,Hypoponera.opaciceps,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1044,Pheidole.navigans,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1044,Solenopsis.diplo,G,NA,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1045,Pheidole.navigans,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,U,H,27.194199,-82.089477,M. Deyrup,1985
1045,Solenopsis.diplo,G,NA,25-Sep-85,25-Sep-85,Longino Ranch,berlese,U,H,27.194199,-82.089477,M. Deyrup,1985
1046,Cyphomyrmex.minutus,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1046,Hypoponera.opacior,G,native,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1046,Pheidole.navigans,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1046,Strumigenys.ornata,G,native,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1047,Aphaenogaster.miamiana/carolinensis,G,native,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1047,Hypoponera.opacior,G,native,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1047,Pheidole.navigans,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1047,Solenopsis.diplo,G,NA,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1047,Strumigenys.ornata,G,native,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1048,Cyphomyrmex.minutus,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1048,Pheidole.navigans,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1048,Solenopsis.diplo,G,NA,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1049,Pheidole.navigans,G,alien,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1049,Solenopsis.diplo,G,NA,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
1049,Strumigenys.ornata,G,native,25-Sep-85,25-Sep-85,Longino Ranch,berlese,S,H,27.194199,-82.089477,M. Deyrup,1985
