Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Abablemma brimleyana,0,12
Silverspotted Skipper,Epargyreus Clarus,11,6914
Zebra Swallowtail,Protographium Marcellus,1,1753
Sleepy Orange,Abaeis Nicippe,0,5543
Eastern Giant Swallowtail,Papilio Cresphontes,0,264
NoCommonName,Abagrotis alternata,0,50
NoCommonName,Abagrotis anchocelioides,0,1
NoCommonName,Abagrotis brunneipennis,0,1
NoCommonName,Abagrotis cupida,0,1
NoCommonName,Abagrotis magnicupida,0,16
Hoary Edge,Achalarus Lyciades,5,1152
NoCommonName,Acharia stimulea,0,29
NoCommonName,Achatia distincta,3,22
NoCommonName,Achatodes zeae,0,8
NoCommonName,Acherdoa ferraria,0,1
NoCommonName,Achyra rantalis,0,7
NoCommonName,Acleris albicomana,0,1
NoCommonName,Acleris cervinana,0,3
NoCommonName,Acleris flavivittana,0,2
NoCommonName,Acleris maculidorsana,0,4
NoCommonName,Acleris placidana,0,1
NoCommonName,Acleris robinsoniana,0,2
NoCommonName,Acleris schalleriana,0,3
NoCommonName,Acleris semipurpurana,0,7
NoCommonName,Acleris subnivana,0,4
American Copper,Lycaena Phlaeas,0,329
NoCommonName,Acleris unidentified species,0,10
NoCommonName,Acoloithus falsarius,0,4
NoCommonName,Acrapex relicta,0,5
NoCommonName,Acrobasis caryae,0,1
NoCommonName,Acrobasis caryalbella,0,2
Kings Hairstreak,Satyrium Kingi,0,139
Striped Hairstreak,Satyrium Liparops,0,138
NoCommonName,Acrobasis demotella,0,2
NoCommonName,Acrobasis exsulella,0,13
NoCommonName,Acrobasis minimella,0,1
NoCommonName,Acrobasis stigmella,0,2
NoCommonName,Acrobasis tumidulella,0,1
NoCommonName,Acrobasis vaccinii,0,1
NoCommonName,Acrocercops albinatella,0,1
NoCommonName,Acrocercops strigosa,0,1
NoCommonName,Acrolepiopsis leucoscia,0,1
NoCommonName,Acrolepiopsis unidentified species,0,1
NoCommonName,Acrolophus arcanella,0,3
NoCommonName,Acrolophus cressoni,0,2
NoCommonName,Acrolophus mortipennella,0,1
NoCommonName,Acrolophus morus,0,4
Holly Azure,Celastrina Idella,0,300
NoCommonName,Acrolophus mycetophagus,0,11
NoCommonName,Acrolophus panamae,0,13
NoCommonName,Acrolophus plumifrontella,0,14
NoCommonName,Acrolophus popeanella,0,21
Little Metalmark,Calephelis Virginiensis,0,135
American Snout,Libytheana Carinenta,3,2076
NoCommonName,Acrolophus propinquus,0,2
Zebra Longwing,Heliconius Charithonia,0,81
NoCommonName,Acrolophus texanella,0,3
NoCommonName,Acrolophus unidentified species,0,11
Great Spangled Fritillary,Speyeria Cybele,5,2118
NoCommonName,Acronicta afflicta,0,36
NoCommonName,Acronicta albarufa,0,1
NoCommonName,Acronicta americana,0,64
NoCommonName,Acronicta betulae,1,16
NoCommonName,Acronicta brumosa,1,2
NoCommonName,Acronicta clarescens,0,1
NoCommonName,Acronicta connecta,0,5
NoCommonName,Acronicta exilis,1,11
NoCommonName,Acronicta fallax,0,8
NoCommonName,Acronicta funeralis,0,1
Tawny Crescent,Phyciodes Batesii,0,70
NoCommonName,Acronicta haesitata,3,45
NoCommonName,Acronicta hamamelis,0,5
NoCommonName,Acronicta hasta,4,35
NoCommonName,Acronicta hastulifera,2,12
NoCommonName,Acronicta impleta,7,29
NoCommonName,Acronicta inclara,0,23
