Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Abablemma brimleyana,0,12
Silver-spotted Skipper,Epargyreus Clarus,11,6914
Zebra Swallowtail,Protographium Marcellus,1,1753
Sleepy Orange,Abaeis Nicippe,0,5543
Eastern Giant Swallowtail,Papilio Cresphontes,0,264
NoCommonName,Abagrotis alternata,0,50
NoCommonName,Abagrotis anchocelioides,NaN,1
NoCommonName,Abagrotis brunneipennis,NaN,1
NoCommonName,Abagrotis cupida,NaN,1
NoCommonName,Abagrotis magnicupida,NaN,16
Hoary Edge,Achalarus Lyciades,5,1152
NoCommonName,Acharia stimulea,0,29
NoCommonName,Achatia distincta,3,22
NoCommonName,Achatodes zeae,0,8
NoCommonName,Acherdoa ferraria,0,1
NoCommonName,Achyra rantalis,NaN,7
NoCommonName,Acleris albicomana,NaN,1
NoCommonName,Acleris cervinana,NaN,3
NoCommonName,Acleris flavivittana,NaN,2
NoCommonName,Acleris maculidorsana,NaN,4
NoCommonName,Acleris placidana,NaN,1
NoCommonName,Acleris robinsoniana,NaN,2
NoCommonName,Acleris schalleriana,NaN,3
NoCommonName,Acleris semipurpurana,NaN,7
NoCommonName,Acleris subnivana,NaN,4
American Copper,Lycaena Phlaeas,0,329
NoCommonName,Acleris unidentified species,NaN,10
NoCommonName,Acoloithus falsarius,0,4
NoCommonName,Acrapex relicta,NaN,5
NoCommonName,Acrobasis caryae,0,1
NoCommonName,Acrobasis caryalbella,NaN,2
Kings Hairstreak,Satyrium Kingi,NaN,139
Striped Hairstreak,Satyrium Liparops,NaN,138
NoCommonName,Acrobasis demotella,0,2
NoCommonName,Acrobasis exsulella,NaN,13
NoCommonName,Acrobasis minimella,NaN,1
NoCommonName,Acrobasis stigmella,0,2
NoCommonName,Acrobasis tumidulella,NaN,1
NoCommonName,Acrobasis vaccinii,NaN,1
NoCommonName,Acrocercops albinatella,NaN,1
NoCommonName,Acrocercops strigosa,NaN,1
NoCommonName,Acrolepiopsis leucoscia,NaN,1
NoCommonName,Acrolepiopsis unidentified species,NaN,1
NoCommonName,Acrolophus arcanella,0,3
NoCommonName,Acrolophus cressoni,NaN,2
NoCommonName,Acrolophus mortipennella,NaN,1
NoCommonName,Acrolophus morus,NaN,4
Holly Azure,Celastrina Idella,0,300
NoCommonName,Acrolophus mycetophagus,NaN,11
NoCommonName,Acrolophus panamae,NaN,13
NoCommonName,Acrolophus plumifrontella,0,14
NoCommonName,Acrolophus popeanella,NaN,21
Little Metalmark,Calephelis Virginiensis,0,135
American Snout,Libytheana Carinenta,3,2076
NoCommonName,Acrolophus propinquus,NaN,2
Zebra Longwing,Heliconius Charithonia,NaN,81
NoCommonName,Acrolophus texanella,0,3
NoCommonName,Acrolophus unidentified species,NaN,11
Great Spangled Fritillary,Speyeria Cybele,5,2118
NoCommonName,Acronicta afflicta,0,36
NoCommonName,Acronicta albarufa,NaN,1
NoCommonName,Acronicta americana,0,64
NoCommonName,Acronicta betulae,1,16
NoCommonName,Acronicta brumosa,1,2
NoCommonName,Acronicta clarescens,NaN,1
NoCommonName,Acronicta connecta,NaN,5
NoCommonName,Acronicta exilis,1,11
NoCommonName,Acronicta fallax,NaN,8
NoCommonName,Acronicta funeralis,0,1
Tawny Crescent,Phyciodes Batesii,0,70
NoCommonName,Acronicta haesitata,3,45
NoCommonName,Acronicta hamamelis,0,5
