SPECIES,FAMILY,DawnCode,DawnSurvey(occurrences) ,DawnSurvey(totalN) ,,MuseumAbundance(withoutDawn),MuseumAbundanceDawn,MuseumTotal
Agonostomus monticola,Mugilidae,NO35,13,490,,9,4,13
Anablepsoides hartii (Rivulus hartii),Rivulidae,NO34,32,170,,18,23,41
Ancistrus maracasae (Ancistrus cirrhosus),Loricariidae,NO24,2,5,,4,1,5
Andinoacara pulcher (Aequidens pulcher),Cichlidae,NO37,36,247,,7,38,45
Anguilla rostrata,Anguillidae,NO28,8,28,,3,1,4
Astyanax bimaculatus,Characidae,NO6,42,1022,,16,41,57
Awaous banana (Awaous taiasica),Gobiidae,NO44,4,17,,3,3,6
Callichthys callichthys,Callichthyidae,NO21,1,2,,2,1,3
Cichlasoma taenia,Cichlidae,NO38,12,89,,8,13,21
Copella arnoldi,Lebiasinidae,NO17,1,31,,0,0,0
Corydoras aeneus,Callichthyidae,NO22,18,80,,3,16,19
Corynopoma riisei,Characidae,NO9,30,967,,8,29,37
Crenicichla frenata (Crenicichla alta),Cichlidae,NO39,14,40,,4,6,10
Dormitator maculatus,Eleotridae,NO41,1,2,,1,1,2
Eleotris pisonis,Eleotridae,NO42,12,179,,2,5,7
Erythrinus erythrinus,Erythrinidae,NO1,1,35,,0,0,0
Gasteropelecus sternicla,Gasteropelecidae,NO5,3,47,,1,3,4
Gephyrocharax valencia,Characidae,NO54,1,2,,0,0,0
Gobiesox nudus,Gobiesocidae,NO47,6,18,,2,5,7
Gobiomorus dormitor,Eleotridae,NO43,12,191,,6,7,13
Gymnotus carapo,Gymnotidae,NO20,3,4,,1,3,4
Hemibrycon taeniurus,Characidae,NO10,10,145,,1,12,13
Hemigrammus unilineatus,Characidae,NO50,17,164,,8,4,12
Hoplias malabaricus,Erythrinidae,NO3,25,67,,12,25,37
Hoplosternum littorale,Callichthyidae,NO23,6,10,,5,6,11
Hypostomus robinii,Loricariidae,NO25,26,75,,5,1,6
Odontostilbe pulchra (Odontostilbe pulcher),Characidae,NO14,13,559,,2,13,15
Oreochromis mossambicus,Cichlidae,NO40,3,80,,0,0,0
Poecilia boesemani,Poeciliidae,NA,0,0,,3,4,7
Poecilia picta,Poeciliidae,NA,0,0,,7,1,8
Poecilia reticulata,Poeciliidae,NO31,56,4165,,6,33,39
Poecilia sphenops,Poeciliidae,NO32,3,2997,,3,2,5
Poecilia vivipara,Poeciliidae,NO33,3,39,,0,0,0
Polycentrus schomburgkii,Nandidae,NO46,8,66,,8,6,14
Pseudauchenipterus nodosus,Auchenipteridae,NA,0,0,,1,2,3
Rhamdia cf. quelen (Rhamdia quelen),Pimelodidae,NO26,21,91,,12,20,32
Roeboides dientonito (Roeboides dayi),Characidae,NO15,25,655,,14,24,38
Sicydium punctatum,Gobiidae,NO45,18,2263,,12,15,27
Steindachnerina argentea,Curimatidae,NO4,8,53,,1,11,12
Synbranchus marmoratus,Synbranchidae,NO29,6,8,,5,2,7
