Species,Herbaria,Field
American_Chestnut,204,4174495
Striped_Maple,208,23106641
Mountain_Maple,110,462201
Serviceberry_spp.,375,5624245
Flowering_Dogwood,235,547523
American_Holly,86,742456
Apple_spp.,112,2037575
Pin_Cherry,252,1895792
Chokecherry,263,572661
American_Mountain_Ash,70,2264479
Boxelder,93,34101
Norway_Maple,84,3289160
Red_Maple,411,314859717
Silver_Maple,98,535687
Sugar_Maple,154,63864195
Ailanthus,72,77278
Yellow_Birch,181,53613420
Sweet_Birch,245,88262507
River_Birch,71,39184
Paper_Birch,219,14306784
Gray_Birch,276,15699484
American_Hornbeam,218,21631105
Mockernut_Hickory,51,1225183
Bitternut_Hickory,57,1358477
Pignut_Hickory,182,9905838
Shagbark_Hickory,187,7084520
Northern_Catalpa,31,45972
American_Beech,230,136345122
White_Ash,244,32561191
Black_Ash,55,2074562
Green_Ash,102,818335
Honeylocust,51,45972
Butternut,87,91944
Black_Walnut,26,37193
Blackgum,267,14557776
Eastern_Hophornbeam,183,13665642
Eastern_Cottonwood,109,1132483
Bigtooth_Aspen,253,4895672
Quaking_Aspen,260,4226755
Black_Cherry,205,36668220
White_Oak,243,29997008
Swamp_White_Oak,133,942361
Scarlet_Oak,203,25147936
Scrub_Oak,306,14733961
Bur_Oak,38,131838
Pin_Oak,55,45972
Chestnut_Oak,120,2905191
Northern_Red_Oak,204,65027460
Post_Oak,60,550369
Black_Oak,262,29765707
Black_Locust,118,1424482
Black_Willow,222,1284583
Sassafras,304,5735660
American_Basswood,219,771059
American_Elm,227,7616948
Slippery_Elm,85,155325
Balsam_Fir,65,3805438
Atlantic_White_Cedar,131,567441
Eastern_Redcedar,268,3496162
Tamarack,141,175784
Norway_Spruce,40,2503628
Red_Spruce,130,17352520
Red_Pine,115,263001
Pitch_Pine,289,22198168
Eastern_White_Pine,250,230365844
Eastern_Hemlock,170,168474894
