Species,Herbaria,Field
Ailanthus,72,1
American_Basswood,219,10
American_Beech,230,129
American_Chestnut,204,7
American_Elm,227,37
American_Holly,86,6
American_Hornbeam,218,19
American_Mountain_Ash,70,3
Apple_spp.,112,8
Atlantic_White_Cedar,131,6
Balsam_Fir,65,12
Bigtooth_Aspen,253,27
Bitternut_Hickory,57,5
Black_Ash,55,4
Black_Cherry,205,132
Black_Locust,118,5
Black_Oak,262,152
Black_Walnut,26,1
Black_Willow,222,4
Blackgum,267,39
Boxelder,93,1
Bur_Oak,38,1
Butternut,87,2
Chestnut_Oak,120,8
Chokecherry,263,1
Eastern_Cottonwood,109,4
Eastern_Hemlock,170,183
Eastern_Hophornbeam,183,29
Eastern_Redcedar,268,14
Eastern_White_Pine,250,316
Flowering_Dogwood,235,1
Gray_Birch,276,25
Green_Ash,102,4
Honeylocust,51,1
Mockernut_Hickory,51,4
Mountain_Maple,110,1
Northern_Catalpa,31,1
Northern_Red_Oak,204,248
Norway_Maple,84,8
Norway_Spruce,40,4
Paper_Birch,219,91
Pignut_Hickory,182,40
Pin_Cherry,252,5
Pin_Oak,55,1
Pitch_Pine,289,49
Post_Oak,60,2
Quaking_Aspen,260,25
Red_Maple,411,427
Red_Pine,115,4
Red_Spruce,130,27
River_Birch,71,1
Sassafras,304,18
Scarlet_Oak,203,91
Scrub_Oak,306,10
Serviceberry_spp.,375,12
Shagbark_Hickory,187,24
Silver_Maple,98,3
Slippery_Elm,85,3
Striped_Maple,208,27
Sugar_Maple,154,134
Swamp_White_Oak,133,8
Sweet_Birch,245,170
Tamarack,141,2
White_Ash,244,133
White_Oak,243,164
Yellow_Birch,181,131
