# bee data from Sandra Rehan
# New Hampshire
Genus_species,museum (1981-1998),field (2001-2016),total
Agapostemon_sericeus,6,40,46
Agapostemon_texanus,6,160,166
Agapostemon_virescens,17,1871,1888
Andrena_algida,0,3,3
Andrena_alleghaniensis,2,19,21
Andrena_asteris,0,18,18
Andrena_barbilabris,7,5,12
Andrena_bisalicis,0,7,7
Andrena_braccata,0,4,4
Andrena_bradleyi,2,8,10
Andrena_brevipalpis,2,2,4
Andrena_canadensis,2,8,10
Andrena_carlini,0,122,122
Andrena_carolina,7,9,16
Andrena_ceanothi,1,31,32
Andrena_clarkella,0,3,3
Andrena_commoda,0,23,23
Andrena_confederata,0,4,4
Andrena_crataegi,10,65,75
Andrena_cressonii,4,79,83
Andrena_distans,1,9,10
Andrena_dunningi,2,35,37
Andrena_erigeniae,0,19,19
Andrena_erythrogaster,0,1,1
Andrena_erythronii,3,17,20
Andrena_forbesii,3,11,14
Andrena_fragilis,0,11,11
Andrena_frigida,4,37,41
Andrena_fulgida,0,1,1
Andrena_geranii,0,2,2
Andrena_helianthi,1,4,5
Andrena_heraclei,0,1,1
Andrena_hilaris,0,1,1
Andrena_hippotes,1,9,10
Andrena_hirticincta,3,19,22
Andrena_imitatrix,5,27,32
Andrena_integra,4,0,4
Andrena_kalmiae,3,1,4
Andrena_krigiana,0,7,7
Andrena_mandibularis,0,7,7
Andrena_mariae,0,1,1
Andrena_melanochroa,0,37,37
Andrena_milwaukeensis,8,23,31
Andrena_miranda,3,11,14
Andrena_miserabilis,2,62,64
Andrena_morrisonella,0,5,5
Andrena_nasonii,2,47,49
Andrena_nigrae,0,1,1
Andrena_nigrihirta,3,22,25
Andrena_nivalis,4,29,33
Andrena_nubecula,3,124,127
Andrena_nuda,0,13,13
Andrena_peckhami,0,1,1
Andrena_perplexa,1,8,9
Andrena_persimulata,1,0,1
Andrena_placata,1,23,24
Andrena_platyparia,1,0,1
Andrena_regularis,2,19,21
Andrena_robertsonii,0,9,9
Andrena_rufosignata,2,33,35
Andrena_rugosa,2,46,48
Andrena_runcinatae,0,1,1
Andrena_salictaria,1,2,3
Andrena_sigmundi,0,17,17
Andrena_simplex,1,5,6
Andrena_spiraeana,1,7,8
Andrena_thaspii,4,15,19
Andrena_uvulariae,1,0,1
Andrena_vicina,13,66,79
Andrena_violae,0,2,2
Andrena_virginiana,1,3,4
Andrena_wheeleri,0,4,4
Andrena_wilkella,9,215,224
Andrena_ziziae,0,7,7
Anthidiellum_notatum,0,4,4
Anthidium_manicatum,0,18,18
Anthidium_oblongatum,0,52,52
Anthophora_bomboides,0,3,3
Anthophora_terminalis,4,24,28
Anthophora_ursina,1,0,1
Augochlora_pura,15,71,86
Augochlorella_aurata,20,1342,1362
Augochlorella_persimilis,0,6,6
Augochloropsis_metallica,3,22,25
Bombus_affinis,5,0,5
Bombus_ashtoni,6,2,8
Bombus_bimaculatus,0,172,172
Bombus_borealis,0,6,6
Bombus_citrinus,4,11,15
Bombus_fernaldae,0,1,1
Bombus_fervidus,6,2,8
Bombus_griseocollis,0,72,72
Bombus_impatiens,16,781,797
Bombus_perplexus,5,45,50
Bombus_rufocinctus,0,1,1
Bombus_sandersoni,9,24,33
Bombus_ternarius,7,110,117
Bombus_terricola,22,96,118
Bombus_vagans,29,152,181
Calliopsis_andreniformis,2,156,158
Calliopsis_nebraskensis,1,2,3
