# Ericacea shrubs from Richard Primack
# Middlesex County
Species,Abundance Rank,Simple Rank,Herbarium Specimens
Ledum_groenlandicum,Probably Extinct,Rare,9
Rhododendrum_canadense,Occasional,Rare,31
Rhododendrum_roseum,Rare,Rare,5
Rhododendrum_viscosum,Frequent,Common,65
Kalmia_latifolia,Infrequent,Rare,18
Kalmia_angustifolia,Common,Common,44
Kalmia_polifolia,Occasional,Rare,11
Lyonia_ligustorna,Frequent,Common,26
Leucothoe_racemosa,Probably Extinct,Rare,14
Chamaedaphne_calyulata,Common,Common,30
Galylussacia_dumosa,Rare,Rare,10
Galylussacia_frondosa,Occasional,Rare,17
Galylussacia_baccatia,Common,Common,50
Vaccinium_vacillans,Common,Common,45
Vaccinium_anguistifolium,Frequent,Common,26
Vaccinium_corymbusin,Frequent,Common,119
Vaccinium_oxycoccos,Rare,Rare,6
Vaccinium_macrocopia,Common,Common,15
