# Non-native species pairs of Concord
# Field notes from Richard Primack
Species,Group,Abundance Rank,Herbarium Specimens
Festuca_elatior,grasses_1,Common,28
Festuca_capillata,grasses_1,Rare,17
Dactylis_glomerata,grasses_2,Common,31
Triodia_flava,grasses_2,Rare,5
Anthoxanthum_odorctium,grasses_3,Common,46
Anthoxanthum_puelli,grasses_3,Rare,1
Hemerocallis_fulva,lillies,Common,7
Colchicum_autumnale,lillies,Rare,2
Polygonyum_persicaria,polygonums,Common,38
Polygonum_orientale,polygonums,Rare,15
Portulaca_oleracea,portulacas,Common,15
Claytonia_caroliniana,portulacas,Rare,3
Scleranthus_annuis,caryophyllacea_1,Common,38
Spergula_arvensis,caryophyllacea_1,Rare,17
Stellaria_media,carophyllacea_2,Common,34
Arenaria_serpylligolia,carophyllacea_2,Rare,27
Lychnis_alba,carophyllacea_3,Common,8
Lychnis_dioica,carophyllacea_3,Rare,8
Silene_cucobolis,carophyllacea_4,Common,32
Agrostemma_githago,carophyllacea_4,Rare,12
Silene_noctifora,carophyllacea_5,Common,19
Silene_armeria,carophyllacea_5,Rare,3
Saponiaria_officinalis,carophyllacea_6,Common,15
Lychis_chacedonica,carophyllacea_6,Rare,2
Chelidonium_majus,papaveraceae,Common,47
Fumaria_officinalis,papaveraceae,Rare,12
Berteroa_incana,brassica_1,Common,18
Thlapsi_arvense,brassica_1,Rare,26
Lepidium_densiflorum,brassica_2,Common,21
Lepidium_campestre,brassica_2,Rare,22
Raphanus_raphanistrum,brassica_3,Common,21
Raphanus_sativus,brassica_3,Rare,9
Hesperis_matronalis,brassica_4,Common,26
Erysimium_cheiranthoides,brassica_4,Rare,20
Barbarea_vulgaris,brassica_5,Common,49
Armoracia_lapathifolia,brassica_5,Rare,20
Ribes_sativum,currants,Common,22
Ribes_odoratum,currants,Rare,2
Rosa_multiflora,roses,Common,4
Rosa_englanteria,roses,Rare,19
Trifolium_repens,clovers,Common,28
Trifolium_hybridum,clovers,Rare,27
Medicago_lupulina,legumes_1,Common,35
Medicago_sativa,legumes_1,Rare,16
Vicia_cracca,legumes_2,Common,41
Lathyrus_patensis,legumes_2,Rare,3
Malvia_neglecta,malvaceae,Common,21
Malvia_moschata,malvaceae,Rare,10
Hypericum_performatum,st_johns_worts,Common,30
Hypericum_spathulatum,st_johns_worts,Rare,3
Daucus_carota,carrots,Common,29
Pastinaca_sativa,carrots,Rare,17
Glechoma_hederacea,mints,Common,44
Prunella_vulgaris,mints,Rare,39
Solanum_dulcamara,nightshades,Common,50
Solanum_carolinense,nightshades,Rare,12
Verbascum_thapsus,snapdragons,Common,20
Penstemon_pallidus,snapdragons,Rare,6
Veronica_arvensis,speedwells,Common,31
Veronica_persica,speedwells,Rare,6
Lonicera_morrowi,honeysuckles,Common,13
Symhoricarpos_albus,honeysuckles,Rare,5
Rudbeckia_serotina,composites_1,Common,22
Helianthus_annuus,composites_1,Rare,8
Galinsoga_ciliata,composites_2,Common,41
Bidens_aristosa,composites_2,Rare,4
Tanacetum_vulgare,composites_3,Common,25
Artemesia_vulgaris,composites_3,Rare,26
Arctium_minus,burdocks,Common,33
Arctium_nemerosum,burdocks,Rare,2
Cirsium_vulgare,thistles_1,Common,20
Cirsium_arvense,thistles_1,Rare,23
Cichorium_intybus,thistles_2,Common,51
Centaurea_maculosa,thistles_2,Rare,2
Taraxacum_officinalis,thistles_3,Common,38
Lactuca_scariolea,thistles_3,Rare,32
Sanchus_asper,wild_lettuce,Common,17
Sanchus_arvensis,wild_lettuce,Rare,15
Hieracium_flagellare,hawkweeds_1,Common,2
Hieracium_pilosella,hawkweeds_1,Rare,8
Hieracium_florentinum,hawkweeds_2,Common,11
Hieracium_vulgatum,hawkweeds_2,Rare,3
