# Trees of Concord
# Field notes from Richard Primack
Species,Abundance Rank, Simple Rank, Herbarium Specimens
Populus_tremuloides,Common,Common,41
Populus_grandidentata,Common,Common,47
Jugulans_cinera,Rare,Rare,13
# Carya_ovat,formerly common now scarce,Rare,29
Carya_tometosa,Uncommon,Rare,15
Carya_glabra,Uncommon,Rare,33
Carya_ovalis,Frequent,Common,14
Ostrya_virginia,Occasional,Rare,42
Carpinus_carolinea,Uncommon,Rare,31
Betula_lenta,Common,Common,40
Betula_lutea,Uncommon,Rare,21
Betula_populifolia,Abundant,Common,59
Betula_papyriforma,Infrequent,Rare,38
Fagus_grandifolia,Scarce,Rare,25
Castanea_dentata,Common,Common,41
Quercus_alba,Common,Common,36
Quercus_bicolor,Common,Common,30
Quercus_primus,Rare,Rare,11
Quercus_rubra,Abundant,Common,19
Quercus_coccinia,Frequent,Common,23
Quercus_velutina,Common,Common,36
Ulmus_rubra,Rare,Rare,10
Ulmus_americana,Common,Common,51
Celtis_occidentalis,Rare,Rare,31
Platanus_occidentalis,Infrequent,Rare,16
Prunus_serotina,Common,Common,32
Acer_saccharum,Rare,Rare,31
Acer_rubrum,Abundant,Common,65
Fraxinus_americana,Frequent,Common,59
Fraxinus_pennsylvanica,Occasional,Rare,26
Fraxinus_nigra,Rare,Rare,11
Acer_saccharinum,Common,Common,25
