# Solidago from Middlesex Herbarium
# Field notes from Richard Primack - Eaton
Species,Abundance Rank,Simple Rank,Herbarium Specimens
Solidago_bicolor,Common,Common,33
Solidago_calsea,Common,Common,55
Solidago_canadensis,Abundant,Common,37
Solidago_flexicaulis,Probably Extinct,Rare,18
Solidago_gigantei,Common,Common,40
Solidago_grammifolia,Common,Common,34
Solidago_juncea,Very Common,Common,26
Solidago_nemeralis,Common,Common,49
Solidago_odora,Uncommon,Rare,30
Solidago_puberula,Common,Common,56
Solidago_rugosa,Abundant,Common,88
Solidago_sempivisem,Rare,Rare,19
Solidago_speciosa,Rare,Rare,15
Solidago_tenuifolia,Infrequent,Rare,15
Solidago_uliginosa,Infrequent,Rare,53
Solidago_ulmifolia,Infrequent,Rare,39
